school_id,name,region
1,Авангард,Московская область
2,Авангард,Ямало-Ненецкий АО
3,Авиатор,Республика Татарстан
4,Аврора,Санкт-Петербург
5,Ice Dream / Айс Дрим,Санкт-Петербург
6,Айсберг,Республика Крым
7,Айсберг,Рязанская область
8,Айсберг,Свердловская область
9,Звездочка,Северодвинск 
10,Академия синхронного катания на коньках,Москва
11,Академия ФКК,Республика Мордовия
12,Академия ФКК,Саранск
13,Аллигатор,Краснодарский край
14,Альберта Демченко,Московская область
15,Ангелы Плющенко,Москва
16,Ангелы Плющенко,Московская область
17,ТОП ТИМ - лучшая команда,Санкт-Петербург
18,Арена,Курская область
19,Арктур,Ямало-Ненецкий АО
20,Армия фигурного катания,Москва
21,Армия фигурного катания,Московская область
22,Беломорец,Архангельская область
23,Бердск,Новосибирская область
24,Школа ФК Е. Бережной,Санкт-Петербург
25,Бриллиантовый лед,Санкт-Петербург
26,Брянск,Брянская область
27,Буревестник,Санкт-Петербург
28,Вдохновение,Москва
29,Вершина,Санкт-Петербург
30,Вилеса Айс,Санкт-Петербург
31,Витязь,Вологодская область
32,Владлед,Приморский край
33,Волгарь,Самарская область
34,Волкова,Москва
35,ВСШОР,Ленинградская область
36,ГАУ СК,Брянская область
37,ГБОУ ДО НО СШОР по ЛВС,Нижегородская область
38,Голден айс,Санкт-Петербург
39,Голубева,Костромская бласть
40,Голубева,Костромская область
41,Гусева,Тверская область
42,Давыдов,Московская область
43,Движение,Республика Татарстан
44,Дворец Спорта,Владимирская область
45,Дворец спорта Юность,Нижегородская область
46,Динамо,Владимирская область
47,Динамо,Ивановская область
48,Динамо Санкт-Петербург,Санкт-Петербург
49,Династия,Санкт-Петербург
50,Дымка,Кировская область
51,ДЮСШ по ЗВС,Белгородская область
52,ДЮСШ СК Юбилейный,Санкт-Петербург
53,ДЮСШ No 1,Тюменская область
54,ДЮСШ № 10,Самарская область
55,ДЮСШ № 2,Курганская область
56,ДЮСШ № 2,Республика Карелия
57,ДЮСШ № 4,Санкт-Петербург
58,ДЮСШ № 7 ,Иркутская область
59,ДЮСШ № 8,Владимирская область
60,Ермак,Иркутская область
61,Звезда,Санкт-Петербург
62,Звездный лед,Санкт-Петербург
63,Золотой конек,Санкт-Петербург
64,Золотые надежды,Санкт-Петербург
65,Ижсталь,Удмуртская Республика
66,Каскад,Архангельская область
67,Керриган,Республика Карелия
68,Керриган,Республика Корелия
69,Кировска,Мурманская область
70,Клин спортивный,Московская область
71,КО СШ по ЗВС,Калининградская область
72,МАУ ДО «СШ им. Александра Козицына»,Свердловская область
73,Команда Дмитриева,Челябинская область
74,Конаковский лед,Тверская область
75,Конек Чайковской,Москва
76,Контакт,Ямало-Ненецкий АО
77,Космос,Воронежская область
78,Космос,Калужская область
79,Красная звезда,Санкт-Петербург
80,Красноярск,Красноярский край
81,Кристалл,Сахалинская область
82,Легенда,Москва
83,Ледовая академия,Ростовская область
84,Ледовое поколение,Орловская область
85,Ледовый дворец,Вологодская область
86,Ледовый дворец,Тульская область
87,Ледовый дворец спорта,ХМАО-Югра
88,Ледокол,Республика Татарстан
89,Локомотив,Санкт-Петербург
90,Локомотив,Свердловская область
91,Лыткарино,Московская область
92,Ляпкина,Московская область
93,Маска,Санкт-Петербург
94,Мастер,Санкт-Петербург
95,МАУ СШ No 7,Челябинская область
96,МАФКК,Москва
97,МАФСУ СШ № 6,Кемеровская область
98,МАФСУ СШ №1,Кемеровская область
99,МБУ СШ по ЗВС,Ставропольский край
100,МБФСУ СШ,Кемеровская область
101,Медведково,Москва
102,Мечта,Москва
103,Мещерский,Нижегородская область
104,МОСГОРСПОРТ,Москва
105,СК ФК Т. Москвиной,Санкт-Петербург
106,Москвич,Москва
107,Московская академия фигурного катания на конька,Самарская область
108,Мотодром Арена,Владимирская область
109,МУ СШ №1,Республика Коми
110,Наши надежды,Московская область
111,Невский лед,Санкт-Петербург
112,НЛФК,Свердловская область
113,Новочебоксарск,Москва
114,Новый уренгой,Ямало-Ненецкий АО
115,О2,Пермский край
116,Одинцово,Московская область
117,ОКСШОР,Тульская область
118,Олимп,Калужская область
119,Олимп,Москва
120,Олимп,Нижегородская область
121,Олимп,Оренбургская область
122,Олимп,Псковская область
123,Олимпиец,ХМАО-Югра
124,Олимпийский,Рязанская область
125,ОЛИМПИЯ,Санкт-Петербург
126,ОЛИМПИЯ,Свердловская область
127,ООФФК ИО,Иркутская область
128,Орленок,Пермский край
129,Пахомовой,Московская область
130,ПГУФКСиТ,Республика Татарстан
131,Пируэт,Санкт-Петербург
132,Пируэт,Хабаровский край
133,Полюс,Приморский край
134,Прибой,Санкт-Петербург
135,Прибой,Тюменская область
136,ПроСинхро,Москва
137,Профессионал,Ростовская область
138,Прусова,Москва
139,Рассвет,Красноярский край
140,РОО СФФК РСЯ,Республика Саха
141,РОФФКК,Ростовская область
142,РССШ по ЗВС,Республика Саха
143,РСШОР,Республика Татарстан
144,РЦСП по ФФК,Краснодарский край
145,РЦСПЗВС,Челябинская область
146,Рысь,Воронежская область
147,Салаватинвест,Республика Башкортостан
148,Салют,Московская область
149,Светлогорец,Калининградская область
150,Северная Звезда,Нижегородская область
151,Северная Олимпия,Республика Коми
152,Северное Сияние,Санкт-Петербург
153,СиТ,Республика Татарстан
154,Сияние,Воронежская область
155,СК РОФФКК,Ростовская область
156,"Хоккейный клуб ""СКА""",Санкт-Петербург
157,Смена,Томская область
158,Снеговик,Краснодарский край
159,Созвездие,Астраханская область
160,Созвездие,Москва
161,Сокольники,Москва
162,Союз мастеров спорта,Республика Крым
163,Союз мастеров спорта,Ставропольский край
164,Спартак,Санкт-Петербург
165,Спартак,Чувашская республика
166,Спорт-индустрия,Новгородская область
167,Ставрополь Арена,Ставропольский край
168,Старт,Пермский край
169,Старт,Свердловская область
170,Стартайс,Санкт-Петербург
171,Столица,Москва
172,Стрела,Республика Татарстан
173,СШ,ХМАО-Югра
174,СШ ЗВС,Красноярский край
175,СШ ЗВС,Ставропольский край
176,СШ по ЗВС,Волгоградская область
177,СШ по ЛВС,Республика Марий Эл
178,СШ по ФК,Брянская область
179,СШ по ФККиХ,Краснодарский край
180,СШ по хоккею с шайбой,Смоленская область
181,СШ № 1,Вологодская область
182,СШ № 1,Пензенская область
183,СШ № 1 ,Нижегородская область
184,СШ № 11,Липецкая область
185,СШ № 19,Свердловская область
186,СШ № 6,Мурманская область
187,СШ № 6 ,Мурманская область
188,СШ № 7,Челябинская область
189,СШ №4,Республика Крым
190,СШ №6 ,Республика Карелия
191,"СШ, г.Невинномысск",Ставропольский край
192,СШОР Колпинского района,Санкт-Петербург
193,СШОР по ЗВС,Тверская область
194,СШОР по ЛВС,Нижегородская область
195,СШОР по ЛВС,Тверская область
196,СШОР по ледовым видам спорта,Тверская область
197,СШОР по фигурному катанию на конька,Республика Мордовия
198,СШОР по фигурному катанию на коньках,Санкт-Петербург
199,СШОР по ФКК,Краснодарский край
200,СШОР по ФКК,Республика Мордовия
201,СШОР по ФККиШТ,Республика Татарстан
202,СШОР по ФФК,Республика Мордовия
203,СШОР № 1,Оренбургская область
204,СШОР № 1,Пермский край
205,СШОР № 1,Республика Башкортостан
206,СШОР No 1,Самарская область
207,СШОР № 1 ,Курганская область
208,СШОР № 1 Московского района,Санкт-Петербург
209,СШОР № 2,Забайкальский край
210,СШОР № 2,Курганская область
211,СШОР № 2,Москва
212,СШОР № 35,Омская область
213,СШОР № 4,Республика Чувашия
214,СШОР № 4,Чувашская Республика
215,СШОР № 4,Ярославская область
216,СШОР № 6,Ростовская область
217,СШОР № 6,Рязанская область
218,СШОР №1,Республика Коми
219,СШОР №1,Республика Мордовия
220,СШОР №1,Санкт-Петербург
221,СШОР №3,Тамбовская область
222,Темпо,Санкт-Петербург
223,ТИТУЛ,Санкт-Петербург
224,Тодес,Челябинская область
225,Триумф,Пермский край
226,Ужный урал ,Челябинская область
227,УОР № 1,Московская область
228,УФФК,Удмуртская Республика
229,Фаворит,Санкт-Петербург
230,ФАУ МО РФ ЦСКА,Республика Татарстан
231,Федерация фигурного катания на коньках,Калининградская область
232,ФКК,Тверская область
233,ФОК городец,Нижегородская область
234,ФФК,Тверская область
235,ФФК РБ,Республика Башкортостан
236,ФФК СК,Ставропольский край
237,ФФКК,Республика Карелия
238,ФФКК,ХМАО-Югра
239,ФФКК РК,Республика Коми
240,ФФКК ЯНАО,Ямало-Ненецкий АО
241,ФФККВО,Владимирская область
242,ФФККСК,Ставропольский край
243,Холмск-Арена,Сахалинская область
244,Хрустальный,Москва
245,Хрустальный конек,Воронежская область
246,Центр по ЛВС,Красноярский край
247,Центр развития спорта,Москва
248,Центр спортивных технологий,Московская область
249,ЦЗВС,Новосибирская область
250,ЦОП по фигурному катанию на коньках,Санкт-Петербург
251,ЦСКА,Москва
252,ЦСКА им. С.А. Жука,Москва
